Earth_x,Earth_y,Sun_x,Sun_y
149977978064.92264,66.121164546048,2572992000.0,0.0
149911918767.52606,264.46511831799495,5145228503.876766,2.2683875555292716
149801841629.3201,594.9732477126306,7715954241.622507,9.072871307382977
149647779179.49927,1057.5478833737716,10284414395.38756,22.679802285312107
149449776944.96225,1652.0523301586545,12849854825.377626,45.35349564847309
149207893436.3442,2378.3109090761745,15411522295.53287,79.35555308079583
148922200130.06674,3236.109011182267,17968664698.91633,126.94418605916371
148592781446.41168,4225.193163413538,20520531282.73919,190.37354021194633
148219734723.62653,5345.271106336086,23066372872.95058,271.89302098498376
147803170188.07053,6596.011883782252,25605442098.31982,373.7466208315934
147343210920.41193,7977.045944343944,28136993613.93913,498.172248142554
146839992817.8881,9487.96525468697,30660284324.075157,647.4010581313185
146293664552.64194,11128.323424646755,33174573604.297886,823.6567858889189
145704387526.14893,12897.63584406169,35679123522.81577,1029.1550818221504
145072335819.7508,14795.379831296263,38173199060.9463,1266.1028496876613
144397696141.31332,16820.994793402122,40656068332.6515,1536.697587433533
143680667768.0265,18973.882397861125,43127002803.06834,1843.1267310588003
142921462485.36728,21253.406755850494,45585277505.96424,2187.5670017001535
142120304522.24622,23658.894616966136,48030171260.04859,2572.1837561537686
141277430482.36035,26189.635575336375,50460966884.0713,2999.1303410388336
140393089271.7765,28844.88228705428,52876951410.64018,3470.5474508078805
139467542022.76984,31623.850698853046,55277416298.68937,3988.562489807498
138501062013.94467,34525.72028794496,57661657644.53144,4555.288938591383
137493934586.6646,37549.6343129407,60028976391.42659,5172.825724685992
136446457057.82143,40694.70007576199,62378678537.60274,5843.256598007283
135358938628.97278,43959.98919445689,64710075342.66109,6568.649511125195
134231700291.88019,47344.5378868234,67022483532.30227,7351.056004570586
133065074730.47989,50847.34726474325,69315225501.30885,8192.510597377359
131859406219.32043,54467.38363912448,71587629514.72083,9095.030183050432
130615050518.50201,58203.57883534749,73839029907.14108,10060.613431148087
129332374765.1537,62054.830519106225,76068767280.10907,11091.240194665
128011757361.48586,66020.00253253225,78276188697.48116,12188.870923399996
126653587859.4562,70097.92524048651,80460647878.7572,13355.446083490227
125258266842.08908,74287.3958869,82621505390.29373,14592.885583291072
123826205801.48839,78587.17896104144,84758128834.34471,15903.088205778555
